X,Y,code,plant_name,capacity_mw,fuel_src_primary,primary_output,fuel_src_secondary,secondary_output
-87.35682,33.45867,2,Bankhead Dam,56,Hydro,56,,
-88.0103,31.0069,3,Barry,2574.5,Coal,1612.5,Natural Gas,962
-86.28306,32.58389,4,Walter Bouldin Dam,225.9,Hydro,225.9,,
-85.9708,34.0128,7,Gadsden,130,Coal,130,,
-87.19649,33.64434,8,Gorgas,1241,Coal,1241,,
-106.375,31.7569,9,Copper,62,Natural Gas,62,,
-87.7811,32.6017,10,Greene County,1237,Coal,497,Natural Gas,740
-86.0524,33.7845,11,H Neely Henry Dam,70,Hydro,70,,
-87.4495,33.2553,12,Holt Dam,45,Hydro,45,,
-86.2548,32.6189,13,Jordan Dam,100,Hydro,100,,
-86.33755,33.42588,14,Logan Martin Dam,135,Hydro,135,,
-86.5187,32.9633,15,Lay Dam,178.8,Hydro,178.8,,
-85.91144,32.68039,16,Martin Dam,186,Hydro,186,,
-86.44489,32.80602,17,Mitchell Dam,165.9,Hydro,165.9,,
-87.1077,33.9406,18,Lewis Smith Dam,180,Hydro,180,,
-85.88761,32.53544,19,Thurlow Dam,78,Hydro,78,,
-85.75381,34.17214,20,Weiss Dam,74.1,Hydro,74.1,,
-85.8901,32.5743,21,Yates Dam,47,Hydro,47,,
-86.45806,33.24421,26,E C Gaston,1878,Coal,1862,Petroleum,16
-94.4153,44.0525,30,Madelia,10.3,Natural Gas,10.3,,
-120.95334,39.13426,34,Rollins,12.1,Hydro,12.1,,
-87.39977,32.10088,38,Millers Ferry,90,Hydro,90,,
-87.1189,34.7042,46,Browns Ferry,3309.4,Nuclear,3309.4,,
-87.8486,34.7439,47,Colbert,1547.2,Coal,1184,Natural Gas,363.2
-86.39393,34.42127,48,Guntersville,122.7,Hydro,122.7,,
-87.3819,34.8069,49,Wheeler Dam,398.2,Hydro,398.2,,
-85.75525,34.88302,50,Widows Creek,938,Coal,938,,
-93.56917,32.03056,51,Dolet Hills,638,Coal,638,,
-86.47947,31.4033,53,Gantt,2.8,Hydro,2.8,,
-84.1017,37.8833,54,J K Smith,784,Natural Gas,784,,
-86.51831,31.36115,55,Point A,5.4,Hydro,5.4,,
-87.91075,31.48802,56,Charles R Lowman,553,Coal,553,,
-98.34822,40.85477,59,Platte,100,Coal,100,,
-98.31244,40.58087,60,Whelan Energy Center,309,Coal,309,,
-134.101,58.3176,62,Annex Creek,3.6,Hydro,3.6,,
-134.4174,58.3107,63,Gold Creek,9.7,Petroleum,8.1,Hydro,1.6
-134.4953,58.3536,64,Lemon Creek,57.5,Petroleum,57.5,,
-134.4631,58.3269,65,Salmon Creek 1,5.2,Hydro,5.2,,
-135.3131,59.4545,66,Skagway,4.4,Petroleum,3.4,Hydro,1
-135.445,59.2358,69,Haines,6.2,Petroleum,6.2,,
-131.35417,55.61389,70,Swan Lake,22.4,Hydro,22.4,,
-152.895,57.6861,71,Terror Lake,22.4,Hydro,22.4,,
-118.4168,34.01135,72,Venice,10.1,Hydro,10.1,,
-149.8661,61.2221,75,Anchorage 1,90.4,Natural Gas,88.4,Petroleum,2
-149.15009,61.47521,77,Eklutna Hydro Project,44.4,Hydro,44.4,,
-133.737,58.1415,78,Snettisham,78,Hydro,78,,
-147.73506,64.84774,79,Aurora Energy LLC Chena,32.4,Coal,32.4,,
-131.63343,55.34464,84,Ketchikan,4.2,Hydro,4.2,,
-131.6778,55.3633,85,S W Bailey,23,Petroleum,23,,
-108.082,35.4159,87,Escalante,247,Coal,247,,
-74.2063,41.949,88,Ashokan,3.8,Hydro,3.8,,
-165.42938,64.50592,90,Snake River,17.8,Petroleum,16,Wind,1.8
-132.95709,56.81104,91,Petersburg,12.6,Petroleum,11,Hydro,1.6
-149.4417,60.1083,92,Seward,15.6,Petroleum,15.6,,
-135.2297,57.0516,93,Blue Lake,7,Hydro,7,,
-132.3683,56.4522,95,Wrangell,8.5,Petroleum,8.5,,
-151.0356,61.1861,96,Beluga,344.4,Natural Gas,344.4,,
-122.365,47.07972,99,Frederickson,134,Natural Gas,134,,
-111.78106,33.46648,100,South Consolidated,1.4,Hydro,1.4,,
-119.2567,37.14793,104,J S Eastwood,199.8,Pumped Storage,199.8,,
-100.9725,37.9308,108,Holcomb,358.8,Coal,358.8,,
-157.89,59.6708,109,Dillingham,6.6,Petroleum,6.6,,
-110.3033,34.9394,113,Cholla,1027,Coal,1027,,
-109.5538,31.36412,114,Douglas,15,Petroleum,15,,
-111.9122,33.4225,116,Ocotillo,320.6,Natural Gas,320,Solar,0.6
-112.1583,33.4417,117,West Phoenix,952,Natural Gas,952,,
-111.3,32.5517,118,Saguaro,176,Natural Gas,176,,
-114.7106,32.7214,120,Yucca,328,Natural Gas,257,Petroleum,71
-110.99215,32.25227,124,Demoss Petrie,75,Natural Gas,75,,
-110.9047,32.16,126,H Wilson Sundt Generating Station,470,Coal,156,Natural Gas,314
-99.1753,34.0825,127,Oklaunion,650,Coal,650,,
-80.11333,33.37139,130,Cross,2350,Coal,2350,,
-81.63278,29.73306,136,Seminole,1309,Coal,1309,,
-112.2153,33.5561,141,Agua Fria,626.2,Natural Gas,626,Solar,0.2
-111.94605,33.43938,143,Crosscut,33,Natural Gas,30,Hydro,3
-111.344,33.5907,145,Horse Mesa,149,Hydro,30,Pumped Storage,119
-111.9353,33.3556,147,Kyrene,525,Natural Gas,525,,
-111.4431,33.5536,148,Mormon Flat,68.8,Hydro,11.5,Pumped Storage,57.3
-111.16179,33.6711,149,Roosevelt,36,Hydro,36,,
-111.536,33.5661,150,Stewart Mountain,13,Hydro,13,,
-120.93139,37.62936,151,McClure,112,Petroleum,112,,
